Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,16,0,55000.0,49952.52412268928,9573.987349009258,68712.68509700894,1513.0,0.13991040537198338,0.0,61000,68000,68000,68000,69000,69000,69000,69000,69000,69000,69000
,Aggregated,16,0,55000.0,49952.52412268928,9573.987349009258,68712.68509700894,1513.0,0.13991040537198338,0.0,61000,68000,68000,68000,69000,69000,69000,69000,69000,69000,69000
