Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,13,0,58000.0,54936.10249799811,8375.39446199662,98365.04587798845,171.23076923076923,0.11342185149131352,0.0,58000,70000,78000,98000,98000,98000,98000,98000,98000,98000,98000
,Aggregated,13,0,58000.0,54936.10249799811,8375.39446199662,98365.04587798845,171.23076923076923,0.11342185149131352,0.0,58000,70000,78000,98000,98000,98000,98000,98000,98000,98000,98000
