Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774677080,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677081,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677082,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677083,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677084,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677085,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677086,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677087,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677088,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677089,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
1774677090,10,,Aggregated,0.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,9700.0,12168.843394247233,8375.39446199662,15958.255550009198,94.5
