Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/completions,25,0,16000.0,31300.435524040367,1280.6924309988972,97171.87971700332,599.04,0.22109558727744702,0.0,16000,20000,58000,69000,89000,97000,97000,97000,97000,97000,97000
,Aggregated,25,0,16000.0,31300.435524040367,1280.6924309988972,97171.87971700332,599.04,0.22109558727744702,0.0,16000,20000,58000,69000,89000,97000,97000,97000,97000,97000,97000
