Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774675463,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
1774675464,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
1774675465,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
1774675466,10,,Aggregated,0.100000,0.000000,22000,22000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,16000.0,19438.786466253077,9573.987349009258,29356.479159003356,1501.25
1774675467,10,,Aggregated,0.100000,0.000000,22000,22000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,16000.0,19438.786466253077,9573.987349009258,29356.479159003356,1501.25
1774675468,10,,Aggregated,0.100000,0.000000,22000,22000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,16000.0,19438.786466253077,9573.987349009258,29356.479159003356,1501.25
1774675469,10,,Aggregated,0.100000,0.000000,22000,22000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,16000.0,19438.786466253077,9573.987349009258,29356.479159003356,1501.25
1774675470,10,,Aggregated,0.100000,0.000000,22000,22000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,16000.0,19438.786466253077,9573.987349009258,29356.479159003356,1501.25
1774675471,10,,Aggregated,0.100000,0.000000,22000,22000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,16000.0,19438.786466253077,9573.987349009258,29356.479159003356,1501.25
1774675472,10,,Aggregated,0.100000,0.000000,22000,22000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,16000.0,19438.786466253077,9573.987349009258,29356.479159003356,1501.25
1774675473,10,,Aggregated,0.100000,0.000000,22000,29000,29000,35000,35000,35000,35000,35000,35000,35000,35000,5,0,22000.0,22617.818646802334,9573.987349009258,35333.94736899936,1502.0
1774675474,10,,Aggregated,0.100000,0.000000,22000,29000,29000,35000,35000,35000,35000,35000,35000,35000,35000,5,0,22000.0,22617.818646802334,9573.987349009258,35333.94736899936,1502.0
1774675475,10,,Aggregated,0.100000,0.000000,22000,29000,29000,35000,35000,35000,35000,35000,35000,35000,35000,5,0,22000.0,22617.818646802334,9573.987349009258,35333.94736899936,1502.0
1774675476,10,,Aggregated,0.100000,0.000000,22000,29000,29000,35000,35000,35000,35000,35000,35000,35000,35000,5,0,22000.0,22617.818646802334,9573.987349009258,35333.94736899936,1502.0
1774675477,10,,Aggregated,0.100000,0.000000,22000,29000,29000,35000,35000,35000,35000,35000,35000,35000,35000,5,0,22000.0,22617.818646802334,9573.987349009258,35333.94736899936,1502.0
